Try_index N kappa_old kappa_new time_rescaled mag
0 40000.000000 0.318639 1.154858 2088.000000 0.908100
0 40000.000000 0.318639 1.154858 2088.000000 0.908100
0 40000.000000 0.318639 1.154858 2089.000000 0.908050
0 40000.000000 0.318639 1.154858 2091.000000 0.908050
0 40000.000000 0.318639 1.154858 2091.000000 0.908050
0 40000.000000 0.318639 1.154858 2091.000000 0.908050
0 40000.000000 0.318639 1.154858 2091.000000 0.908050
0 40000.000000 0.318639 1.154858 2093.000000 0.908050
0 40000.000000 0.318639 1.154858 2093.000000 0.908050
0 40000.000000 0.318639 1.154858 2093.000000 0.908050
0 40000.000000 0.318639 1.154858 2094.000000 0.908100
0 40000.000000 0.318639 1.154858 2094.000000 0.908100
0 40000.000000 0.318639 1.154858 2095.000000 0.908050
0 40000.000000 0.318639 1.154858 2095.000000 0.908050
0 40000.000000 0.318639 1.154858 2095.000000 0.908050
0 40000.000000 0.318639 1.154858 2095.000000 0.908050
0 40000.000000 0.318639 1.154858 2096.000000 0.908000
0 40000.000000 0.318639 1.154858 2096.000000 0.908000
0 40000.000000 0.318639 1.154858 2096.000000 0.908000
0 40000.000000 0.318639 1.154858 2097.000000 0.908050
0 40000.000000 0.318639 1.154858 2097.000000 0.908050
0 40000.000000 0.318639 1.154858 2097.000000 0.908050
0 40000.000000 0.318639 1.154858 2097.000000 0.908050
0 40000.000000 0.318639 1.154858 2097.000000 0.908050
0 40000.000000 0.318639 1.154858 2097.000000 0.908050
0 40000.000000 0.318639 1.154858 2098.000000 0.908100
0 40000.000000 0.318639 1.154858 2099.000000 0.908050
0 40000.000000 0.318639 1.154858 2099.000000 0.908050
0 40000.000000 0.318639 1.154858 2099.000000 0.908050
0 40000.000000 0.318639 1.154858 2099.000000 0.908050
0 40000.000000 0.318639 1.154858 2099.000000 0.908050
0 40000.000000 0.318639 1.154858 2101.000000 0.908050
0 40000.000000 0.318639 1.154858 2101.000000 0.908050
0 40000.000000 0.318639 1.154858 2102.000000 0.908100
